,neighborhood,hhid,mid,si2b_08,si2b_09a,si2b_09b,h_docu,type,area,weight,illness,illness_days,econ_active,self_emp,wage_emp,nelf_housework,nelf_illness,nelf_other,empindus_rickvan,empindus_rmg,empindus_business,empindus_service,empindus_labor,empindus_maid,empindus_other,payment_freq_perday,payment_freq_perweek,payment_freq_permonth,payment_freq_other,empterm_1,empterm_2,empterm_3,empterm_4,empterm_5,wage_pm,tot_inc,lntot_inc,emp_loc_home,emp_loc_neighborhood,emp_loc_other,emp_transport_walk,emp_transport_rick,emp_transport_bus,emp_transport_other,travel_cost,travel_time,njob,emp_duration,first_job,tvet,CESD_score,depression,age_marriage,childcare,hour_childare,taka_childare,edu_mother,edu_father,duration_community_1,duration_community_2,duration_community_3,duration_community_4,duration_community_5,duration_community_5y,moved,move_reason_work,move_reason_marriage,move_reason_wfamily,move_reason_ffamily,move_reason_other,bornhere,movedhakz,mig_orig,knack1,lnknack1,knack2,lnknack2,knack3,lnknack3,knack4,lnknack4,knack5,lnknack5,knack6,lnknack6,knack7,lnknack7,knack8,lnknack8,knack9,lnknack9,knack10,lnknack10,knack11,lnknack11,knack12,lnknack12,knack13,lnknack13,knack14,lnknack14,knack15,lnknack15,knack16,lnknack16,knack17,lnknack17,att_decjob,veil_n,veil_o,safety1,safety2,safety3,harass_freq_n,harass_freq_o,freq_goc,h_owner,h_rsell,h_rbquet,h_rcoll,h_rrent,h_rimpv,ccduration1,lnccduration1,duration1,duration2,duration3,duration4,duration5,duration6,lnduration1,lnduration2,lnduration3,lnduration4,lnduration5,lnduration6,location1,location2,location3,lnlocation1,lnlocation2,lnlocation3,fin_source_any,fin_source1,fin_source2,fin_source3,fin_source4,fin_spend_any,fin_spend1,fin_spend2,fin_spend3,fin_spend4,sex,reltohhh_hhh,reltohhh_spouse,reltohhh_child,reltohhh_other,age,marital_member_1,marital_member_2,marital_member_3,marital_member_4,marital_member_5,first_grade,second_grade,third_grade,fourth_grade,fifth_grade,sixth_grade,seventh_grade,eighth_grade,ninth_grade,tenth_grade,zero_grade,twelfth_grade,other_grade,comp_year_edu,nrooms,sep_kitchen,roof_mat1,roof_mat2,roof_mat3,av_space,toilet_improved,toilet_shared,water_improved,electricity,dwelling_own,dwelling_rented,dwelling_free,contract_dwelling,rent,foodexp_pc,lnfoodexp_pc,foodexp_pc1,foodexp_pc2,foodexp_pc3,foodexp_pc4,foodexp_pc5,spros,hhsize,hh_lit_1,hh_lit_2,hh_lit_3,hh_lit_4,male_hhh,marital_hh_1,marital_hh_2,marital_hh_3,marital_hh_4,marital_hh_5,adults,male,earning_member,service1,service2,service3,service4,service5,service6,service7,service8
0,1,1,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,15,Yes,0,1,,,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3000,3000,8.006368,1,0,0,1,0,0,0,,,1,300,1,0,16,1,25,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,From elsewhere,4,1.3862944,13,2.5649493,71,4.26268,88,4.477337,34,3.5263605,1,0,3,1.0986123,96,4.564348,50,3.912023,1,0,45,3.8066626,1,0,99,4.59512,80,4.3820267,17,2.8332133,83,4.4188404,46,3.8286414,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,15,0.5,8.5,0,0,0,2.7245796,-0.2876821,2.1690538,-1.3862944,-1.3862944,-1.3862944,15.5,8.5,0,2.7568405,2.1690538,-1.3862944,,,,,,,,,,,Male,1,0,0,0,70,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,96,1,1,1,1,0,1,0,1,3500,516.375,6.2468333,0,1,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,0.25,0.75,0,1,1,0,1,1,0,0
1,1,1,2,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,3,Yes,0,1,,,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1600,1600,7.377759,0,0,1,1,0,0,0,,10,1,6,0,0,7,0,25,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,From elsewhere,6,1.7917595,94,4.543295,27,3.295837,6,1.7917595,96,4.564348,0,,0,,71,4.26268,4,1.3862944,0,,0,,27,3.295837,41,3.713572,3,1.0986123,1,0,20,2.9957323,2,0.6931472,0,2,2,1,1,1,0,0,1,0,,,,,,0,-1.3862944,13.5,0,10.5,0,0,0,2.621039,-1.3862944,2.3749058,-1.3862944,-1.3862944,-1.3862944,13.5,10.5,0,2.621039,2.3749058,-1.3862944,,,,,,,,,,,Female,0,1,0,0,60,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,96,1,1,1,1,0,1,0,1,3500,516.375,6.2468333,0,1,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,0.25,0.75,0,1,1,0,1,1,0,0
2,1,2,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,7,Yes,0,1,,,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10000,10000,9.2103405,1,0,0,1,0,0,0,,,1,60,0,0,13,1,25,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,From elsewhere,4,1.3862944,9,2.1972246,97,4.574711,99,4.59512,2,0.6931472,27,3.295837,11,2.3978953,94,4.543295,82,4.406719,29,3.3672957,89,4.4886365,63,4.1431346,90,4.4998097,100,4.6051702,81,4.394449,65,4.1743875,3,1.0986123,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,12.75,1.5,9.75,0,0,0,2.5649493,0.5596158,2.3025851,-1.3862944,-1.3862944,-1.3862944,14.25,9.75,0,2.6741486,2.3025851,-1.3862944,1,1,0,0,0,1,1,0,0,0,Male,1,0,0,0,55,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,96,1,1,1,1,0,1,0,1,4000,738.8,6.605027,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,1,0.33333334,0.33333334,0,0,0,1,1,1,1,0
3,1,2,2,,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,0,19,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,From elsewhere,32,3.465736,86,4.454347,88,4.477337,15,2.7080503,100,4.6051702,10,2.3025851,0,,91,4.5108595,3,1.0986123,0,,9,2.1972246,0,,53,3.9702919,26,3.2580965,1,0,92,4.5217886,66,4.189655,0,2,2,1,1,1,0,0,1,0,,,,,,0,-1.3862944,13.5,2.75,2.25,5.5,0,0,2.621039,1.0986123,0.91629076,1.7491999,-1.3862944,-1.3862944,18.25,5.75,0,2.9177706,1.7917595,-1.3862944,,,,,,,,,,,Female,0,1,0,0,40,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,96,1,1,1,1,0,1,0,1,4000,738.8,6.605027,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,1,0.33333334,0.33333334,0,0,0,1,1,1,1,0
4,1,3,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10000,10000,9.2103405,1,0,0,1,0,0,0,,,1,3,0,0,13,1,22,,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,From elsewhere,6,1.7917595,86,4.454347,24,3.1780539,40,3.6888795,99,4.59512,25,3.218876,1,0,36,3.583519,0,,0,,1,0,27,3.295837,15,2.7080503,0,,1,0,89,4.4886365,30,3.4011974,,,,1,1,1,,,1,0,,,,,,0.75,0,14,0,10,0,0,0,2.6567569,-1.3862944,2.3272777,-1.3862944,-1.3862944,-1.3862944,24,0,0,3.1884167,-1.3862944,-1.3862944,1,1,0,0,0,1,1,0,0,0,Male,1,0,0,0,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,1,0,96,1,1,1,1,0,1,0,1,2500,1052.7267,6.959139,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,0,0,0.6666667,0.33333334,0.33333334,0,0,0,1,1,1,1,0
5,1,3,2,,,,,Non-slum,Dhaka City Corporation,2493.351,1,3,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,17,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,From elsewhere,1,0,46,3.8286414,54,3.988984,94,4.543295,79,4.3694477,4,1.3862944,3,1.0986123,0,,1,0,2,0.6931472,18,2.8903718,11,2.3978953,4,1.3862944,0,,9,2.1972246,23,3.1354942,11,2.3978953,0,3,3,1,1,1,0,0,1,0,,,,,,5,1.658228,12.25,4.25,1,4.25,2.25,0,2.5257287,1.5040774,0.22314355,1.5040774,0.91629076,-1.3862944,19,5,0,2.957511,1.658228,-1.3862944,,,,,,,,,,,Female,0,1,0,0,23,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,96,1,1,1,1,0,1,0,1,2500,1052.7267,6.959139,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,0,0,0.6666667,0.33333334,0.33333334,0,0,0,1,1,1,1,0
6,1,4,1,,25000,30000,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,1,0,,,,0,0,1,0,0,0,0,,,,,0,0,0,1,0,,25000,10.126631,0,1,0,1,0,0,0,,5,1,318.75165,1,0,5,0,29,,0,0,8,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,From elsewhere,11,2.3978953,54,3.988984,27,3.295837,99,4.59512,26,3.2580965,92,4.5217886,54,3.988984,35,3.5553482,25,3.218876,64,4.158883,94,4.543295,43,3.7612002,14,2.6390574,40,3.6888795,74,4.304065,3,1.0986123,15,2.7080503,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,10.25,0,13.75,0,0,0,2.3513753,-1.3862944,2.6390574,-1.3862944,-1.3862944,-1.3862944,10.25,13.75,0,2.3513753,2.6390574,-1.3862944,,,,,,,,,,,Male,1,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,1,120,1,1,1,1,0,1,0,1,4000,2539.9,7.83988,0,0,0,0,1,1,3,0,0,0,1,1,0,1,0,0,0,1,0.6666667,0.6666667,1,0,1,0,1,1,0,0
7,1,4,2,,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,0,17,,0,0,3,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,From elsewhere,11,2.3978953,92,4.5217886,72,4.276666,11,2.3978953,98,4.5849676,2,0.6931472,0,,57,4.0430512,0,,0,,0,,0,,7,1.9459101,1,0,0,,57,4.0430512,13,2.5649493,0,1,1,2,2,2,0,0,2,0,,,,,,0,-1.3862944,15.75,3.5,0,4.75,0,0,2.7725887,1.3217559,-1.3862944,1.609438,-1.3862944,-1.3862944,24,0,0,3.1884167,-1.3862944,-1.3862944,,,,,,,,,,,Female,0,1,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,1,120,1,1,1,1,0,1,0,1,4000,2539.9,7.83988,0,0,0,0,1,1,3,0,0,0,1,1,0,1,0,0,0,1,0.6666667,0.6666667,1,0,1,0,1,1,0,0
8,1,5,1,,10000,10000,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,1,0,,,,0,0,1,0,0,0,0,,,,,0,0,0,1,0,,10000,9.2103405,0,1,0,1,0,0,0,,15,1,60,0,0,10,0,21,,24,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,From elsewhere,61,4.1108737,95,4.553877,100,4.6051702,52,3.9512436,97,4.574711,36,3.583519,3,1.0986123,100,4.6051702,82,4.406719,10,2.3025851,43,3.7612002,44,3.7841897,99,4.59512,100,4.6051702,4,1.3862944,89,4.4886365,63,4.1431346,,,,1,1,1,,,1,0,,,,,,0.75,0,12.5,7,4.5,0,0,0,2.5455313,1.9810015,1.5581446,-1.3862944,-1.3862944,-1.3862944,13,2.5,8.5,2.5839975,1.011601,2.1690538,1,1,0,0,0,1,1,0,0,0,Male,1,0,0,0,31,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,117,1,0,1,1,0,1,0,1,4000,706.9733,6.5609927,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0.6666667,0.6666667,0.6666667,0,1,0,1,1,1,1,0
9,1,5,2,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,3,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4000,4000,8.294049,0,1,0,1,0,0,0,,10,1,36,1,0,4,0,18,,2,0,4,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,24,3.1780539,72,4.276666,36,3.583519,4,1.3862944,95,4.553877,36,3.583519,0,,69,4.2341065,32,3.465736,1,0,4,1.3862944,26,3.2580965,54,3.988984,50,3.912023,2,0.6931472,60,4.0943446,24,3.1780539,1,3,3,1,1,1,0,0,1,0,,,,,,0.75,0,13.25,3.75,3,3,1,0,2.6026897,1.3862944,1.178655,1.178655,0.22314355,-1.3862944,21.5,0,2.5,3.0796137,-1.3862944,1.011601,0,0,0,0,0,1,1,0,0,0,Female,0,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,1,0,1,0,117,1,0,1,1,0,1,0,1,4000,706.9733,6.5609927,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0.6666667,0.6666667,0.6666667,0,1,0,1,1,1,1,0
10,1,6,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,1,,,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12000,12000,9.392662,1,0,0,1,0,0,0,,,1,96,0,1,9,0,18,,12,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,22,3.0910425,61,4.1108737,98,4.5849676,91,4.5108595,66,4.189655,35,3.5553482,5,1.609438,88,4.477337,58,4.060443,1,0,30,3.4011974,21,3.0445225,97,4.574711,60,4.0943446,5,1.609438,77,4.3438053,34,3.5263605,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,9.5,0,14.5,0,0,0,2.2772672,-1.3862944,2.6912432,-1.3862944,-1.3862944,-1.3862944,17.5,6.5,0,2.8763855,1.9095426,-1.3862944,1,1,0,0,0,1,1,0,0,0,Male,1,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,0,1,48,1,1,1,1,0,1,0,1,3500,1548.9333,7.3453217,0,0,0,0,1,1,3,0,0,0,1,1,0,1,0,0,0,0.6666667,0.33333334,0.33333334,0,0,1,0,1,1,0,0
11,1,6,2,,,,,Non-slum,Dhaka City Corporation,2493.351,1,7,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,13,2,8,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,From elsewhere,54,3.988984,97,4.574711,94,4.543295,32,3.465736,99,4.59512,13,2.5649493,0,,98,4.5849676,24,3.1780539,3,1.0986123,14,2.6390574,61,4.1108737,73,4.2904596,92,4.5217886,33,3.4965076,98,4.5849676,52,3.9512436,0,2,2,1,1,1,0,0,4,0,,,,,,6.5,1.9095426,14.25,3.75,1,2.5,2.5,0,2.6741486,1.3862944,0.22314355,1.011601,1.011601,-1.3862944,22.5,1.5,0,3.1245651,0.5596158,-1.3862944,,,,,,,,,,,Female,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,1,48,1,1,1,1,0,1,0,1,3500,1548.9333,7.3453217,0,0,0,0,1,1,3,0,0,0,1,1,0,1,0,0,0,0.6666667,0.33333334,0.33333334,0,0,1,0,1,1,0,0
12,1,7,1,5000,,,,Non-slum,Dhaka City Corporation,2493.351,1,4,Yes,0,1,,,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12000,12416.667,9.426795,0,0,1,0,0,0,1,0,52.781685,1,248,1,0,6,0,19,,24,0,0,0,0,0,0,0,1,1,,,,,,,0,0,From elsewhere,3,1.0986123,45,3.8066626,58,4.060443,58,4.060443,49,3.8918202,2,0.6931472,0,,56,4.0253515,0,,0,,8,2.0794415,3,1.0986123,1,0,1,0,2,0.6931472,19,2.944439,9,2.1972246,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,10.5,0.5,13,0,0,0,2.3749058,-0.2876821,2.5839975,-1.3862944,-1.3862944,-1.3862944,9.5,0.5,14,2.2772672,-0.2876821,2.6567569,,,,,,,,,,,Male,1,0,0,0,35,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,120,1,1,1,1,0,1,0,1,4000,250.55,5.5236583,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0.5,0.5,0.25,1,1,1,0,1,1,0,0
13,1,7,2,,,,,Non-slum,Dhaka City Corporation,2493.351,1,30,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,1,13,1,24,0,0,14,0,0,0,0,1,1,,,,,,,0,0,From elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,1,0,0,2,0,,,,,,11,2.4203682,19,1,0,3.25,0.75,0,2.957511,0.22314355,-1.3862944,1.2527629,0,-1.3862944,24,0,0,3.1884167,-1.3862944,-1.3862944,0,0,0,0,0,0,0,0,0,0,Female,0,1,0,0,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,1,0,120,1,1,1,1,0,1,0,1,4000,250.55,5.5236583,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0.5,0.5,0.25,1,1,1,0,1,1,0,0
14,1,8,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,3,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12000,12000,9.392662,0,0,1,1,0,0,0,,15,1,36,0,0,5,0,26,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,1,0,97,4.574711,79,4.3694477,99,4.59512,85,4.4426513,0,,0,,74,4.304065,40,3.6888795,0,,27,3.295837,6,1.7917595,37,3.6109178,0,,22,3.0910425,83,4.4188404,3,1.0986123,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,10,0,14,0,0,0,2.3272777,-1.3862944,2.6567569,-1.3862944,-1.3862944,-1.3862944,7.75,0,16.25,2.0794415,-1.3862944,2.8033605,,,,,,,,,,,Male,1,0,0,0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,144,1,1,1,1,0,1,0,1,2900,554.35,6.317796,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0.5,0.5,0,0,0,1,1,0,0,0
15,1,8,2,,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,0,18,,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,From elsewhere,72,4.276666,98,4.5849676,77,4.3438053,6,1.7917595,99,4.59512,23,3.1354942,0,,99,4.59512,3,1.0986123,2,0.6931472,13,2.5649493,39,3.6635616,72,4.276666,41,3.713572,8,2.0794415,94,4.543295,72,4.276666,0,3,3,1,1,1,0,0,2,0,,,,,,0,-1.3862944,17.25,1,0,5.75,0,0,2.862201,0.22314355,-1.3862944,1.7917595,-1.3862944,-1.3862944,18.5,0.5,5,2.9311938,-0.2876821,1.658228,,,,,,,,,,,Female,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,1,0,144,1,1,1,1,0,1,0,1,2900,554.35,6.317796,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0.5,0.5,0,0,0,1,1,0,0,0
16,1,9,2,0,,,,Non-slum,Dhaka City Corporation,2493.351,1,7,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,8500,8500,9.047821,1,0,0,1,0,0,0,,,1,36,0,0,11,1,24,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,From elsewhere,13,2.5649493,49,3.8918202,99,4.59512,57,4.0430512,57,4.0430512,43,3.7612002,5,1.609438,8,2.0794415,88,4.477337,8,2.0794415,7,1.9459101,8,2.0794415,45,3.8066626,16,2.7725887,4,1.3862944,66,4.189655,34,3.5263605,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,12.25,0.75,11,0,0,0,2.5257287,0,2.4203682,-1.3862944,-1.3862944,-1.3862944,12.5,11.5,0,2.5455313,2.4638534,-1.3862944,,,,,,,,,,,Male,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,0,1,96,1,1,1,1,0,1,0,1,4500,657.425,6.488331,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,1,0,1,1,0,0
17,1,9,3,,,,,Non-slum,Dhaka City Corporation,2493.351,1,13,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,0,20,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,From elsewhere,51,3.9318256,97,4.574711,37,3.6109178,45,3.8066626,78,4.356709,39,3.6635616,0,,88,4.477337,1,0,1,0,31,3.4339871,92,4.5217886,29,3.3672957,26,3.2580965,20,2.9957323,58,4.060443,49,3.8918202,0,2,2,1,1,1,0,0,4,0,,,,,,0,-1.3862944,17.25,3.25,0.5,3,0,0,2.862201,1.2527629,-0.2876821,1.178655,-1.3862944,-1.3862944,23,1,0,3.146305,0.22314355,-1.3862944,,,,,,,,,,,Female,0,0,0,1,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,1,96,1,1,1,1,0,1,0,1,4500,657.425,6.488331,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,1,0,1,1,0,0
18,1,11,1,0,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,1,,,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,12500,12500,9.433484,1,0,0,1,0,0,0,,,1,120,1,0,16,1,23,,8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,From elsewhere,2,0.6931472,8,2.0794415,92,4.5217886,77,4.3438053,37,3.6109178,10,2.3025851,2,0.6931472,97,4.574711,92,4.5217886,34,3.5263605,67,4.204693,51,3.9318256,99,4.59512,99,4.59512,74,4.304065,84,4.4308167,7,1.9459101,,,,3,1,1,,,1,0,,,,,,0,-1.3862944,12.25,0.75,9.25,0,1.75,0,2.5257287,0,2.2512918,-1.3862944,0.6931472,-1.3862944,14,10,0,2.6567569,2.3272777,-1.3862944,,,,,,,,,,,Male,1,0,0,0,25,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,168,1,1,1,1,0,1,0,1,2500,912.4,6.8160787,0,0,0,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0.6666667,0.6666667,0.33333334,0,0,0,1,1,1,1,0
19,1,11,2,,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,15,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,From elsewhere,49,3.8918202,98,4.5849676,88,4.477337,32,3.465736,99,4.59512,12,2.4849067,0,,94,4.543295,0,,0,,10,2.3025851,6,1.7917595,8,2.0794415,4,1.3862944,2,0.6931472,89,4.4886365,56,4.0253515,0,2,2,1,1,1,0,0,2,0,,,,,,6,1.8325815,14.5,2.5,0.75,5,1.25,0,2.6912432,1.011601,0,1.658228,0.4054651,-1.3862944,20.5,3.5,0,3.0325463,1.3217559,-1.3862944,,,,,,,,,,,Female,0,1,0,0,22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,1,0,168,1,1,1,1,0,1,0,1,2500,912.4,6.8160787,0,0,0,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0.6666667,0.6666667,0.33333334,0,0,0,1,1,1,1,0
20,1,13,1,4000,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,1,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,15000,15333.333,9.637784,0,1,0,1,0,0,0,,10,1,25,0,0,6,0,18,,40,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,From elsewhere,33,3.4965076,6,1.7917595,91,4.5108595,58,4.060443,14,2.6390574,44,3.7841897,32,3.465736,52,3.9512436,77,4.3438053,37,3.6109178,27,3.295837,37,3.6109178,88,4.477337,70,4.248495,56,4.0253515,60,4.0943446,44,3.7841897,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,9.25,3.5,11.25,0,0,0,2.2512918,1.3217559,2.442347,-1.3862944,-1.3862944,-1.3862944,13,0,11,2.5839975,-1.3862944,2.4203682,,,,,,,,,,,Male,1,0,0,0,40,0,1,0,0,0,,,,,,,,,,,,,,0,2,1,0,1,0,168,1,0,1,1,0,1,0,1,4200,185.45,5.2227855,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0.75,0.75,0.25,0,1,0,1,1,0,1,1
21,1,13,2,,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,No,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,2,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,From elsewhere,42,3.7376697,98,4.5849676,16,2.7725887,10,2.3025851,100,4.6051702,1,0,0,,100,4.6051702,3,1.0986123,0,,11,2.3978953,59,4.0775375,97,4.574711,48,3.871201,9,2.1972246,95,4.553877,16,2.7725887,0,2,2,1,1,1,0,0,1,0,,,,,,4,1.446919,14,2.5,0.75,6.25,0.5,0,2.6567569,1.011601,0,1.8718022,-0.2876821,-1.3862944,23.5,0.5,0,3.1675825,-0.2876821,-1.3862944,,,,,,,,,,,Female,0,1,0,0,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,1,0,1,0,168,1,0,1,1,0,1,0,1,4200,185.45,5.2227855,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0.75,0.75,0.25,0,1,0,1,1,0,1,1
22,1,14,1,2000,,,,Non-slum,Dhaka City Corporation,2493.351,0,0,Yes,0,1,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,13000,13166.667,9.485444,0,1,0,1,0,0,0,,30,1,180,0,0,5,0,18,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,From elsewhere,4,1.3862944,89,4.4886365,73,4.2904596,54,3.988984,98,4.5849676,8,2.0794415,0,,80,4.3820267,2,0.6931472,6,1.7917595,21,3.0445225,24,3.1780539,49,3.8918202,9,2.1972246,37,3.6109178,60,4.0943446,18,2.8903718,,,,1,1,1,,,1,0,,,,,,0,-1.3862944,10.25,3.25,10.5,0,0,0,2.3513753,1.2527629,2.3749058,-1.3862944,-1.3862944,-1.3862944,12.5,0,11.5,2.5455313,-1.3862944,2.4638534,,,,,,,,,,,Male,1,0,0,0,56,0,1,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,1,108,1,1,1,1,0,1,0,1,4000,85.63,4.4500356,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,1,0.5,0.5,0,1,0,1,1,1,1,0
